"IDX_REPORTE","FECHA_REPORTE_C","SEXO","ESTADO_CIVIL","NIVEL_EDUCATIVO","ESTADO","EDAD_C","EDAD_G","ESTADO_CIVIL_G","NIVEL_EDUCATIVO_G","ANIO_REPORTE","FLAG"
"01-000001-0","2023-07-03","Hombre","Union libre","Preparatoria","México",21,"Juventud","Relacion","Medio",2023,0
"01-000002-0","2020-07-10","Hombre","Soltera","Secundaria","Michoacán de Ocampo",21,"Juventud","Soltera","Medio",2020,0
"01-000012-0","2022-09-01","Hombre","Soltera","Secundaria","Oaxaca",57,"Adultez","Soltera","Medio",2022,0
"01-000019-0",NA,"Mujer","Soltera","Profesional tecnico","Guerrero",29,"Juventud","Soltera","Desconocido",NA,0
"01-000027-0","2022-06-17","Mujer","Soltera","Preparatoria","Oaxaca",18,"Adolescencia","Soltera","Medio",2022,0
"01-000049-0",NA,"Hombre","Soltera","Secundaria","Portal",25,"Juventud","Soltera","Medio",NA,0
"01-000052-0","2023-01-06","Mujer","Soltera","Secundaria","Baja California Sur",16,"Adolescencia","Soltera","Medio",2023,0
"01-000069-0","2021-02-27","Mujer","Soltera","Preparatoria","Sonora",32,"Adultez","Soltera","Medio",2021,0
"01-000072-0","2023-02-28","Mujer","Soltera","Preparatoria","Michoacán de Ocampo",27,"Juventud","Soltera","Medio",2023,0
"01-000084-0","2023-06-13","Hombre","Soltera","Preescolar","Zacatecas",4,"Niñez","Soltera","Basico",2023,0
"01-000097-0",NA,"Hombre","Casada","Primaria","Portal",74,"Adultez Mayor","Relacion","Basico",NA,0
"01-000101-0","2023-04-19","Hombre","Soltera","Preparatoria","Querétaro",26,"Juventud","Soltera","Medio",2023,0
"01-000104-0",NA,"Hombre","Casada","Preparatoria","Portal",57,"Adultez","Relacion","Medio",NA,0
"01-000112-0","2014-09-09","Hombre","Soltera","Secundaria","Nacional",26,"Juventud","Soltera","Medio",2014,0
"01-000114-0","2023-03-01","Hombre","Soltera","Preparatoria","Puebla",20,"Juventud","Soltera","Medio",2023,0
"01-000115-0",NA,"Mujer","Casada","Sin escolaridad","Veracruz de Ignacio de la Llave",45,"Adultez","Relacion","Desconocido",NA,0
"01-000116-0",NA,"Mujer","Soltera","Preparatoria","Portal",25,"Juventud","Soltera","Medio",NA,0
"01-000140-0",NA,"Hombre","Divorciada","Licenciatura","Portal",49,"Adultez","Separada/Divorciada","Superior",NA,0
"01-000162-0",NA,"Mujer","Separada","Secundaria","Nuevo León",44,"Adultez","Separada/Divorciada","Medio",NA,0
"01-000194-0","2019-10-18","Hombre","Soltera","Secundaria","Guanajuato",17,"Adolescencia","Soltera","Medio",2019,0
"01-000202-0","2019-03-28","Hombre","Soltera","Primaria","Sinaloa",24,"Juventud","Soltera","Basico",2019,0
"01-000208-0","2017-10-10","Hombre","Soltera","Secundaria","Guanajuato",23,"Juventud","Soltera","Medio",2017,0
"01-000235-0",NA,"Mujer","Soltera","Secundaria","Chihuahua",14,"Adolescencia","Soltera","Medio",NA,0
"01-000241-0",NA,"Hombre","Soltera","Secundaria","Portal",21,"Juventud","Soltera","Medio",NA,0
"01-000268-0","2018-09-10","Hombre","Soltera","Primaria","Sinaloa",24,"Juventud","Soltera","Basico",2018,0
"01-000272-0",NA,"Hombre","Soltera","Preparatoria","Portal",19,"Juventud","Soltera","Medio",NA,0
"01-000275-0",NA,"Mujer","Union libre","Licenciatura","Portal",27,"Juventud","Relacion","Superior",NA,0
"01-000277-0",NA,"Mujer","Soltera","Secundaria","Portal",21,"Juventud","Soltera","Medio",NA,0
"01-000288-0",NA,"Hombre","Soltera","Secundaria","Portal",21,"Juventud","Soltera","Medio",NA,0
"01-000296-0","2020-09-17","Hombre","Casada","Licenciatura","Nacional",47,"Adultez","Relacion","Superior",2020,0
"01-000319-0","2019-08-17","Hombre","Union libre","Preparatoria","Guanajuato",21,"Juventud","Relacion","Medio",2019,0
"01-000320-0",NA,"Mujer","Union libre","Primaria","Portal",19,"Juventud","Relacion","Basico",NA,0
"01-000322-0","2021-08-12","Hombre","Soltera","Preescolar","México",5,"Niñez","Soltera","Basico",2021,0
"01-000354-0","2022-10-11","Hombre","Soltera","Secundaria","Puebla",26,"Juventud","Soltera","Medio",2022,0
"01-000360-0","2022-04-22","Mujer","Soltera","Secundaria","Ciudad de México",14,"Adolescencia","Soltera","Medio",2022,0
"01-000362-0","2021-05-14","Hombre","Union libre","Preparatoria","Portal",27,"Juventud","Relacion","Medio",2021,0
"01-000365-0","2015-11-03","Hombre","Soltera","Primaria","Guanajuato",32,"Adultez","Soltera","Basico",2015,0
"01-000370-0","2020-05-25","Mujer","Soltera","Licenciatura","Michoacán de Ocampo",27,"Juventud","Soltera","Superior",2020,0
"01-000372-0",NA,"Hombre","Soltera","Secundaria","Nacional",37,"Adultez","Soltera","Medio",NA,0
"01-000373-0","2021-08-02","Hombre","Soltera","Secundaria","San Luis Potosí",24,"Juventud","Soltera","Medio",2021,0
"01-000374-0",NA,"Hombre","Soltera","Secundaria","Veracruz de Ignacio de la Llave",27,"Juventud","Soltera","Medio",NA,0
"01-000388-0","2021-12-02","Hombre","Soltera","Preparatoria","Sonora",23,"Juventud","Soltera","Medio",2021,0
"01-000419-0","2021-03-17","Hombre","Soltera","Preparatoria","Portal",25,"Juventud","Soltera","Medio",2021,0
"01-000421-0","2020-04-20","Hombre","Soltera","Primaria","Michoacán de Ocampo",34,"Adultez","Soltera","Basico",2020,0
"01-000426-0",NA,"Hombre","Casada","Primaria","Veracruz de Ignacio de la Llave",37,"Adultez","Relacion","Basico",NA,0
"01-000446-0","2021-03-15","Hombre","Soltera","Preparatoria","Baja California Sur",39,"Adultez","Soltera","Medio",2021,0
"01-000449-0",NA,"Mujer","Casada","Preparatoria","Zacatecas",25,"Juventud","Relacion","Medio",NA,0
"01-000450-0","2019-05-22","Hombre","Soltera","Secundaria","Coahuila de Zaragoza",50,"Adultez","Soltera","Medio",2019,0
"01-000465-0",NA,"Hombre","Soltera","Maternal","Nuevo León",2,"Niñez","Soltera","Desconocido",NA,0
"01-000482-0","2023-03-31","Hombre","Casada","Licenciatura","Sinaloa",51,"Adultez","Relacion","Superior",2023,0
"01-000485-0","2023-05-23","Hombre","Soltera","Preparatoria","Zacatecas",21,"Juventud","Soltera","Medio",2023,0
"01-000487-0","2022-06-22","Mujer","Soltera","Preescolar","Ciudad de México",21,"Juventud","Soltera","Basico",2022,0
"01-000493-0","2020-05-28","Hombre","Union libre","Primaria","México",60,"Adultez","Relacion","Basico",2020,0
"01-000523-0","2019-12-15","Hombre","Union libre","Secundaria","Baja California Sur",35,"Adultez","Relacion","Medio",2019,0
"01-000534-0",NA,"Mujer","Soltera","Secundaria","Portal",16,"Adolescencia","Soltera","Medio",NA,0
"01-000536-0","2023-02-15","Mujer","Soltera","Secundaria","Michoacán de Ocampo",34,"Adultez","Soltera","Medio",2023,0
"01-000554-0","2023-03-02","Hombre","Soltera","Secundaria","Zacatecas",15,"Adolescencia","Soltera","Medio",2023,0
"01-000558-1","2021-03-25","Hombre","Soltera","Secundaria","Baja California Sur",40,"Adultez","Soltera","Medio",2021,0
"01-000561-0",NA,"Mujer","Soltera","Preparatoria","Portal",21,"Juventud","Soltera","Medio",NA,0
"01-000578-0",NA,"Mujer","Casada","Secundaria","Portal",31,"Adultez","Relacion","Medio",NA,0
"01-000602-0","2019-04-10","Hombre","Casada","Secundaria","Sinaloa",39,"Adultez","Relacion","Medio",2019,0
"01-000614-0",NA,"Hombre","Union libre","Secundaria","Portal",39,"Adultez","Relacion","Medio",NA,0
"01-000619-0",NA,"Hombre","Union libre","Preparatoria","Veracruz de Ignacio de la Llave",30,"Juventud","Relacion","Medio",NA,0
"01-000639-0","2023-01-21","Hombre","Soltera","Secundaria","Zacatecas",27,"Juventud","Soltera","Medio",2023,0
"01-000643-0","2021-10-04","Mujer","Divorciada","Preparatoria","Portal",24,"Juventud","Separada/Divorciada","Medio",2021,0
"01-000656-0","2023-07-18","Hombre","Soltera","Primaria","Aguascalientes",9,"Niñez","Soltera","Basico",2023,0
"01-000660-0","2022-11-24","Hombre","Soltera","Secundaria","Sinaloa",26,"Juventud","Soltera","Medio",2022,0
"01-000661-0","2019-08-08","Hombre","Soltera","Preparatoria","Guanajuato",22,"Juventud","Soltera","Medio",2019,0
"01-000670-0",NA,"Hombre","Separada","Preparatoria","Portal",48,"Adultez","Separada/Divorciada","Medio",NA,0
"01-000671-0","2023-01-26","Hombre","Soltera","Sin escolaridad","Guerrero",30,"Juventud","Soltera","Desconocido",2023,0
"01-000672-0",NA,"Hombre","Union libre","Secundaria","Zacatecas",31,"Adultez","Relacion","Medio",NA,0
"01-000673-0","2012-05-28","Mujer","Soltera","Secundaria","México",22,"Juventud","Soltera","Medio",2012,0
"01-000675-0","2021-01-26","Hombre","Soltera","Secundaria","México",32,"Adultez","Soltera","Medio",2021,0
"01-000679-0","2021-05-09","Hombre","Concubina","Maestria","Portal",32,"Adultez","Relacion","Superior",2021,0
"01-000683-0",NA,"Mujer","Divorciada","Preparatoria","Portal",42,"Adultez","Separada/Divorciada","Medio",NA,0
"01-000695-1","2020-06-01","Mujer","Soltera","Secundaria","Guanajuato",26,"Juventud","Soltera","Medio",2020,0
"01-000705-0","2019-02-05","Mujer","Soltera","Secundaria","Ciudad de México",13,"Adolescencia","Soltera","Medio",2019,0
"01-000709-0","2021-05-04","Hombre","Soltera","Secundaria","Michoacán de Ocampo",32,"Adultez","Soltera","Medio",2021,0
"01-000714-0","2019-12-11","Hombre","Casada","Preparatoria","Michoacán de Ocampo",62,"Adultez Mayor","Relacion","Medio",2019,0
"01-000720-0","2023-06-20","Hombre","Soltera","Primaria","México",24,"Juventud","Soltera","Basico",2023,0
"01-000726-0","2010-11-25","Mujer","Soltera","Tecnico","México",38,"Adultez","Soltera","Desconocido",2010,0
"01-000734-0",NA,"Hombre","Soltera","Secundaria","Sinaloa",29,"Juventud","Soltera","Medio",NA,0
"01-000777-0","2022-05-05","Hombre","Casada","Primaria","Zacatecas",73,"Adultez Mayor","Relacion","Basico",2022,0
"01-000807-0","2019-01-07","Hombre","Casada","Secundaria","Sinaloa",37,"Adultez","Relacion","Medio",2019,0
"01-000828-0","2019-03-29","Hombre","Concubina","Tecnico","Ciudad de México",34,"Adultez","Relacion","Desconocido",2019,0
"01-000830-0","2023-06-22","Mujer","Soltera","Secundaria","Guerrero",26,"Juventud","Soltera","Medio",2023,0
"01-000831-0",NA,"Hombre","Soltera","Secundaria","Nuevo León",23,"Juventud","Soltera","Medio",NA,0
"01-000852-0",NA,"Hombre","Soltera","Preparatoria","Portal",18,"Adolescencia","Soltera","Medio",NA,0
"01-000853-0",NA,"Hombre","Soltera","Tecnico","Portal",26,"Juventud","Soltera","Desconocido",NA,0
"01-000862-0","2013-08-17","Mujer","Divorciada","Licenciatura","Nacional",68,"Adultez Mayor","Separada/Divorciada","Superior",2013,0
"01-000865-0",NA,"Hombre","Soltera","Secundaria","Portal",35,"Adultez","Soltera","Medio",NA,0
"01-000873-0","2023-02-18","Hombre","Soltera","Secundaria","Guerrero",23,"Juventud","Soltera","Medio",2023,0
"01-000882-0",NA,"Hombre","Soltera","Secundaria","Veracruz de Ignacio de la Llave",19,"Juventud","Soltera","Medio",NA,0
"01-000885-0","2021-06-14","Hombre","Casada","Primaria","Guerrero",38,"Adultez","Relacion","Basico",2021,0
"01-000906-0",NA,"Hombre","Casada","Primaria","Ciudad de México",76,"Adultez Mayor","Relacion","Basico",NA,0
"01-000910-0","2019-03-28","Hombre","Casada","Preparatoria","Sinaloa",30,"Juventud","Relacion","Medio",2019,0
"01-000935-0",NA,"Mujer","Soltera","Preparatoria","Portal",26,"Juventud","Soltera","Medio",NA,0
"01-000942-0","2023-04-07","Hombre","Union libre","Preparatoria","Guerrero",22,"Juventud","Relacion","Medio",2023,0
"01-000944-0",NA,"Mujer","Viuda","Primaria","Michoacán de Ocampo",37,"Adultez","Desconocido","Basico",NA,0
"01-000951-1",NA,"Hombre","Casada","Secundaria","Nacional",77,"Adultez Mayor","Relacion","Medio",NA,0
"01-000958-0","2020-06-08","Mujer","Soltera","Secundaria","Ciudad de México",15,"Adolescencia","Soltera","Medio",2020,0
"01-000966-0","2023-02-28","Hombre","Soltera","Primaria","Michoacán de Ocampo",30,"Juventud","Soltera","Basico",2023,0
"01-000977-0","2020-10-01","Hombre","Casada","Primaria","Nacional",36,"Adultez","Relacion","Basico",2020,0
"01-000984-0","2022-12-02","Hombre","Soltera","Secundaria","Michoacán de Ocampo",31,"Adultez","Soltera","Medio",2022,0
"01-000993-1","2022-01-20","Hombre","Casada","Primaria","Puebla",22,"Juventud","Relacion","Basico",2022,0
"01-001001-0",NA,"Hombre","Casada","Primaria","Chihuahua",75,"Adultez Mayor","Relacion","Basico",NA,0
"01-001023-1",NA,"Hombre","Casada","Profesional tecnico","Portal",43,"Adultez","Relacion","Desconocido",NA,0
"01-001027-0",NA,"Hombre","Soltera","Secundaria","Chihuahua",19,"Juventud","Soltera","Medio",NA,0
"01-001033-0","2011-02-10","Hombre","Union libre","Primaria","México",42,"Adultez","Relacion","Basico",2011,0
"01-001035-0","2020-04-11","Hombre","Casada","Maternal","México",1,"Niñez","Relacion","Desconocido",2020,0
"01-001037-0","2022-04-13","Mujer","Soltera","Licenciatura","México",29,"Juventud","Soltera","Superior",2022,0
"01-001065-0","2022-04-27","Hombre","Soltera","Preparatoria","Portal",51,"Adultez","Soltera","Medio",2022,0
"01-001073-0",NA,"Hombre","Soltera","Secundaria","Quintana Roo",26,"Juventud","Soltera","Medio",NA,0
"01-001078-0","2020-06-29","Mujer","Soltera","Primaria","Guanajuato",22,"Juventud","Soltera","Basico",2020,0
"01-001082-0",NA,"Mujer","Casada","Secundaria","Portal",38,"Adultez","Relacion","Medio",NA,0
"01-001085-0","2013-04-26","Hombre","Soltera","Secundaria","México",35,"Adultez","Soltera","Medio",2013,0
"01-001097-0","2023-06-09","Hombre","Soltera","Preparatoria","México",23,"Juventud","Soltera","Medio",2023,0
"01-001115-0","2020-06-03","Mujer","Soltera","Preparatoria","Ciudad de México",65,"Adultez Mayor","Soltera","Medio",2020,0
"01-001123-0","2022-04-07","Hombre","Soltera","Secundaria","Baja California Sur",34,"Adultez","Soltera","Medio",2022,0
"01-001128-0",NA,"Mujer","Concubina","Preparatoria","Portal",41,"Adultez","Relacion","Medio",NA,0
"01-001131-0",NA,"Hombre","Concubina","Preparatoria","Portal",46,"Adultez","Relacion","Medio",NA,0
"01-001182-0",NA,"Mujer","Soltera","Secundaria","Portal",15,"Adolescencia","Soltera","Medio",NA,0
"01-001188-0","2019-12-16","Hombre","Soltera","Primaria","Colima",28,"Juventud","Soltera","Basico",2019,0
"01-001191-0",NA,"Hombre","Casada","Secundaria","Portal",25,"Juventud","Relacion","Medio",NA,0
"01-001200-0",NA,"Mujer","Divorciada","Secundaria","Nuevo León",40,"Adultez","Separada/Divorciada","Medio",NA,0
"01-001208-0","2021-09-06","Mujer","Soltera","Secundaria","Nuevo León",15,"Adolescencia","Soltera","Medio",2021,0
"01-001212-0","2023-03-25","Hombre","Casada","Secundaria","Sinaloa",31,"Adultez","Relacion","Medio",2023,0
"01-001215-0",NA,"Hombre","Viuda","Sin escolaridad","Portal",79,"Adultez Mayor","Desconocido","Desconocido",NA,0
"01-001234-0",NA,"Hombre","Divorciada","Preparatoria","Portal",43,"Adultez","Separada/Divorciada","Medio",NA,0
"01-001240-0",NA,"Mujer","Soltera","Primaria","Colima",25,"Juventud","Soltera","Basico",NA,0
"01-001252-0","2021-09-01","Mujer","Soltera","Secundaria","México",19,"Juventud","Soltera","Medio",2021,0
"01-001273-0","2022-01-01","Hombre","Viuda","Licenciatura","Portal",84,"Adultez Mayor","Desconocido","Superior",2022,0
"01-001275-0",NA,"Mujer","Soltera","Primaria","Ciudad de México",6,"Niñez","Soltera","Basico",NA,0
"01-001278-0","2020-09-16","Hombre","Casada","Secundaria","México",55,"Adultez","Relacion","Medio",2020,0
"01-001282-0",NA,"Hombre","Soltera","Primaria","Veracruz de Ignacio de la Llave",25,"Juventud","Soltera","Basico",NA,0
"01-001284-0","2010-12-15","Hombre","Soltera","Preparatoria","México",23,"Juventud","Soltera","Medio",2010,0
"01-001299-0",NA,"Hombre","Soltera","Secundaria","Nuevo León",25,"Juventud","Soltera","Medio",NA,0
"01-001301-0","2019-12-11","Hombre","Soltera","Sin escolaridad","Ciudad de México",63,"Adultez Mayor","Soltera","Desconocido",2019,0
"01-001313-0",NA,"Hombre","Casada","Sin escolaridad","Portal",42,"Adultez","Relacion","Desconocido",NA,0
"01-001333-0",NA,"Hombre","Casada","Licenciatura","Portal",62,"Adultez Mayor","Relacion","Superior",NA,0
"01-001338-0","2019-02-05","Hombre","Soltera","Primaria","Ciudad de México",56,"Adultez","Soltera","Basico",2019,0
"01-001344-0","2023-05-07","Hombre","Divorciada","Secundaria","Guerrero",35,"Adultez","Separada/Divorciada","Medio",2023,0
"01-001359-0","2018-08-28","Hombre","Separada","Primaria","Sinaloa",40,"Adultez","Separada/Divorciada","Basico",2018,0
"01-001372-0","2019-06-05","Hombre","Casada","Primaria","Guanajuato",63,"Adultez Mayor","Relacion","Basico",2019,0
"01-001380-0","2019-02-25","Mujer","Soltera","Primaria","Ciudad de México",38,"Adultez","Soltera","Basico",2019,0
"01-001393-0","2018-06-28","Hombre","Casada","Secundaria","Sinaloa",40,"Adultez","Relacion","Medio",2018,0
"01-001410-0","2023-07-22","Hombre","Union libre","Primaria","Michoacán de Ocampo",27,"Juventud","Relacion","Basico",2023,0
"01-001411-0","2021-07-28","Mujer","Soltera","Secundaria","México",15,"Adolescencia","Soltera","Medio",2021,0
"01-001421-0","2020-09-19","Mujer","Union libre","Sin escolaridad","Nacional",46,"Adultez","Relacion","Desconocido",2020,0
"01-001428-0","2018-03-06","Hombre","Union libre","Preparatoria","San Luis Potosí",26,"Juventud","Relacion","Medio",2018,0
"01-001433-0",NA,"Hombre","Casada","Secundaria","Portal",54,"Adultez","Relacion","Medio",NA,0
"01-001445-0","2019-01-10","Hombre","Soltera","Preparatoria","Sinaloa",32,"Adultez","Soltera","Medio",2019,0
"01-001449-0","2023-03-25","Hombre","Union libre","Secundaria","Nayarit",29,"Juventud","Relacion","Medio",2023,0
"01-001450-0","2022-07-15","Hombre","Soltera","Secundaria","Oaxaca",20,"Juventud","Soltera","Medio",2022,0
"01-001455-0","2023-07-11","Mujer","Soltera","Secundaria","Chiapas",36,"Adultez","Soltera","Medio",2023,0
"01-001465-0",NA,"Mujer","Casada","Secundaria","Portal",57,"Adultez","Relacion","Medio",NA,0
"01-001468-0",NA,"Hombre","Casada","Preparatoria","Portal",49,"Adultez","Relacion","Medio",NA,0
"01-001470-0","2021-01-25","Mujer","Soltera","Preparatoria","México",21,"Juventud","Soltera","Medio",2021,0
"01-001523-0",NA,"Hombre","Soltera","Primaria","Portal",45,"Adultez","Soltera","Basico",NA,0
"01-001533-0",NA,"Mujer","Union libre","Primaria","Portal",40,"Adultez","Relacion","Basico",NA,0
"01-001536-0","2023-06-30","Hombre","Casada","Primaria","Guerrero",40,"Adultez","Relacion","Basico",2023,0
"01-001546-0","2012-06-08","Mujer","Soltera","Secundaria","México",15,"Adolescencia","Soltera","Medio",2012,0
"01-001547-0",NA,"Hombre","Soltera","Preparatoria","Portal",18,"Adolescencia","Soltera","Medio",NA,0
"01-001552-0",NA,"Hombre","Soltera","Preparatoria","Ciudad de México",23,"Juventud","Soltera","Medio",NA,0
"01-001555-0",NA,"Mujer","Soltera","Secundaria","Ciudad de México",18,"Adolescencia","Soltera","Medio",NA,0
"01-001571-0",NA,"Hombre","Union libre","Primaria","Nuevo León",63,"Adultez Mayor","Relacion","Basico",NA,0
"01-001573-0",NA,"Mujer","Soltera","Primaria","Portal",10,"Niñez","Soltera","Basico",NA,0
"01-001585-1","2017-11-28","Hombre","Casada","Preparatoria","Baja California Sur",51,"Adultez","Relacion","Medio",2017,0
"01-001591-0","2019-05-21","Mujer","Soltera","Preparatoria","Guanajuato",41,"Adultez","Soltera","Medio",2019,0
"01-001598-0",NA,"Hombre","Soltera","Preparatoria","Portal",27,"Juventud","Soltera","Medio",NA,0
"01-001618-0",NA,"Hombre","Union libre","Licenciatura","Portal",32,"Adultez","Relacion","Superior",NA,0
"01-001629-0","2020-10-19","Hombre","Soltera","Secundaria","Morelos",27,"Juventud","Soltera","Medio",2020,0
"01-001636-0",NA,"Hombre","Casada","Primaria","Chihuahua",45,"Adultez","Relacion","Basico",NA,0
"01-001645-0",NA,"Hombre","Casada","Preparatoria","Nuevo León",59,"Adultez","Relacion","Medio",NA,0
"01-001649-0","2023-07-30","Mujer","Soltera","Profesional tecnico","Aguascalientes",29,"Juventud","Soltera","Desconocido",2023,0
"01-001655-0","2022-02-11","Hombre","Union libre","Secundaria","Guerrero",29,"Juventud","Relacion","Medio",2022,0
"01-001656-0","2019-07-05","Hombre","Union libre","Secundaria","Sinaloa",29,"Juventud","Relacion","Medio",2019,0
"01-001658-0",NA,"Mujer","Soltera","Preescolar","Portal",5,"Niñez","Soltera","Basico",NA,0
"01-001663-0",NA,"Mujer","Divorciada","Preparatoria","Chihuahua",51,"Adultez","Separada/Divorciada","Medio",NA,0
"01-001683-0","2020-06-02","Hombre","Soltera","Secundaria","Guanajuato",34,"Adultez","Soltera","Medio",2020,0
"01-001707-0",NA,"Hombre","Soltera","Profesional tecnico","Portal",52,"Adultez","Soltera","Desconocido",NA,0
"01-001723-0","2021-02-26","Hombre","Soltera","Preparatoria","Zacatecas",29,"Juventud","Soltera","Medio",2021,0
"01-001733-0","2019-07-19","Hombre","Soltera","Secundaria","Guanajuato",57,"Adultez","Soltera","Medio",2019,0
"01-001741-0","2020-03-28","Hombre","Casada","Sin escolaridad","Guanajuato",33,"Adultez","Relacion","Desconocido",2020,0
"01-001756-0","2019-03-13","Mujer","Soltera","Secundaria","Ciudad de México",13,"Adolescencia","Soltera","Medio",2019,0
"01-001762-0","2019-03-15","Hombre","Concubina","Preparatoria","Ciudad de México",45,"Adultez","Relacion","Medio",2019,0
"01-001763-0","2022-02-13","Hombre","Sociedad en convivencia","Secundaria","Portal",34,"Adultez","Relacion","Medio",2022,0
"01-001784-0","2023-07-27","Hombre","Soltera","Secundaria","México",32,"Adultez","Soltera","Medio",2023,0
"01-001802-0",NA,"Hombre","Soltera","Preparatoria","Veracruz de Ignacio de la Llave",15,"Adolescencia","Soltera","Medio",NA,0
"01-001806-0","2019-03-14","Hombre","Soltera","Secundaria","Sinaloa",35,"Adultez","Soltera","Medio",2019,0
"01-001808-0",NA,"Hombre","Casada","Secundaria","Portal",43,"Adultez","Relacion","Medio",NA,0
"01-001813-0","2022-11-24","Mujer","Soltera","Primaria","San Luis Potosí",14,"Adolescencia","Soltera","Basico",2022,0
"01-001817-0","2018-09-12","Hombre","Separada","Primaria","Sinaloa",30,"Juventud","Separada/Divorciada","Basico",2018,0
"01-001818-0","2023-07-31","Mujer","Soltera","Secundaria","Aguascalientes",16,"Adolescencia","Soltera","Medio",2023,0
"01-001825-0",NA,"Hombre","Casada","Secundaria","Coahuila de Zaragoza",50,"Adultez","Relacion","Medio",NA,0
"01-001827-0",NA,"Mujer","Union libre","Secundaria","Chihuahua",18,"Adolescencia","Relacion","Medio",NA,0
"01-001833-0","2021-03-12","Mujer","Soltera","Preparatoria","Portal",20,"Juventud","Soltera","Medio",2021,0
"01-001851-0",NA,"Hombre","Soltera","Secundaria","Veracruz de Ignacio de la Llave",28,"Juventud","Soltera","Medio",NA,0
"01-001854-0",NA,"Hombre","Casada","Sin escolaridad","Portal",62,"Adultez Mayor","Relacion","Desconocido",NA,0
"01-001861-0","2021-01-09","Hombre","Soltera","Preparatoria","Morelos",20,"Juventud","Soltera","Medio",2021,0
"01-001882-0","2020-08-04","Hombre","Casada","Secundaria","Sinaloa",29,"Juventud","Relacion","Medio",2020,0
"01-001888-0","2022-03-24","Hombre","Union libre","Preparatoria","Jalisco",26,"Juventud","Relacion","Medio",2022,0
"01-001891-0","2019-03-20","Hombre","Soltera","Secundaria","Ciudad de México",28,"Juventud","Soltera","Medio",2019,0
"01-001894-0","2023-06-30","Hombre","Union libre","Secundaria","México",24,"Juventud","Relacion","Medio",2023,0
"01-001912-0","2022-08-04","Mujer","Soltera","Preparatoria","Oaxaca",19,"Juventud","Soltera","Medio",2022,0
"01-001929-0","2021-08-31","Hombre","Soltera","Primaria","México",13,"Adolescencia","Soltera","Basico",2021,0
"01-001936-0",NA,"Hombre","Concubina","Primaria","Guerrero",36,"Adultez","Relacion","Basico",NA,0
"01-001937-0","2019-02-21","Hombre","Soltera","Secundaria","Ciudad de México",37,"Adultez","Soltera","Medio",2019,0
"01-001940-0","2022-10-27","Hombre","Casada","Secundaria","Michoacán de Ocampo",41,"Adultez","Relacion","Medio",2022,0
"01-001950-0","2022-03-28","Hombre","Casada","Secundaria","Veracruz de Ignacio de la Llave",32,"Adultez","Relacion","Medio",2022,0
"01-001960-0","2020-07-03","Hombre","Soltera","Primaria","Colima",27,"Juventud","Soltera","Basico",2020,0
"01-001986-0",NA,"Mujer","Union libre","Secundaria","Nuevo León",26,"Juventud","Relacion","Medio",NA,0
"01-001987-0",NA,"Hombre","Soltera","Primaria","Ciudad de México",84,"Adultez Mayor","Soltera","Basico",NA,0
"01-001995-0",NA,"Mujer","Soltera","Primaria","Chihuahua",56,"Adultez","Soltera","Basico",NA,0
"01-002006-0","2020-11-13","Hombre","Soltera","Primaria","Guerrero",37,"Adultez","Soltera","Basico",2020,0
"01-002013-0","2018-02-25","Hombre","Soltera","Secundaria","Coahuila de Zaragoza",15,"Adolescencia","Soltera","Medio",2018,0
"01-002015-0","2022-12-27","Hombre","Soltera","Primaria","Querétaro",38,"Adultez","Soltera","Basico",2022,0
"01-002023-0",NA,"Hombre","Soltera","Secundaria","Portal",11,"Niñez","Soltera","Medio",NA,0
"01-002041-0","2019-12-09","Hombre","Soltera","Preparatoria","Baja California Sur",28,"Juventud","Soltera","Medio",2019,0
"01-002044-0","2022-07-05","Mujer","Soltera","Secundaria","Portal",16,"Adolescencia","Soltera","Medio",2022,0
"01-002046-0",NA,"Hombre","Concubina","Secundaria","Portal",39,"Adultez","Relacion","Medio",NA,0
"01-002048-0",NA,"Mujer","Divorciada","Secundaria","Nuevo León",39,"Adultez","Separada/Divorciada","Medio",NA,0
"01-002077-0","2020-09-08","Hombre","Soltera","Licenciatura","Querétaro",25,"Juventud","Soltera","Superior",2020,0
"01-002104-0",NA,"Hombre","Soltera","Preparatoria","Portal",42,"Adultez","Soltera","Medio",NA,0
"01-002115-0","2022-06-28","Mujer","Divorciada","Preparatoria","Sinaloa",31,"Adultez","Separada/Divorciada","Medio",2022,0
"01-002135-0",NA,"Hombre","Soltera","Secundaria","Nayarit",32,"Adultez","Soltera","Medio",NA,0
"01-002153-0","2023-06-29","Hombre","Separada","Secundaria","Nayarit",39,"Adultez","Separada/Divorciada","Medio",2023,0
"01-002154-0","2020-01-04","Hombre","Soltera","Secundaria","Guanajuato",36,"Adultez","Soltera","Medio",2020,0
"01-002157-0","2018-07-27","Mujer","Casada","Secundaria","Sinaloa",44,"Adultez","Relacion","Medio",2018,0
"01-002167-0","2023-02-14","Hombre","Casada","Preparatoria","Zacatecas",60,"Adultez","Relacion","Medio",2023,0
"01-002172-0",NA,"Hombre","Union libre","Primaria","Portal",34,"Adultez","Relacion","Basico",NA,0
"01-002173-0","2023-03-09","Hombre","Soltera","Secundaria","Sonora",21,"Juventud","Soltera","Medio",2023,0
"01-002180-0",NA,"Hombre","Soltera","Sin escolaridad","Portal",19,"Juventud","Soltera","Desconocido",NA,0
